,GeneID,Essential,Class,Complex,Phenotype,Motif,Chromosome,Function,Localization,add_numerical
1377,AAAFB,?,ATPases,Cytoskeleton,Conditional phenotypes,PS00350,0,PROTEIN DESTINATION,mitochondria,0
1378,AAAFB,?,ATPases,Cytoskeleton,Conditional phenotypes,PS00350,0,METABOLISM,mitochondria,0
1379,AAAFB,?,ATPases,Cytoskeleton,Conditional phenotypes,PS00350,0,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),mitochondria,0
1380,AAAFB,?,ATPases,Cytoskeleton,Nucleic acid metabolism defects,PS00350,0,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),vacuole,0
1381,AAAFB,?,ATPases,Cytoskeleton,Conditional phenotypes,PS00350,0,METABOLISM,mitochondria,0
1382,AAAFB,?,ATPases,Cytoskeleton,Stress response defects,PS00350,0,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),mitochondria,0
1383,AAAFC,Essential,?,Serine/threonine phoshpoprotein phosphatase,Mating and sporulation defects,PS01248,16,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,mitochondria,16
1384,AAAFC,Essential,?,Serine/threonine phoshpoprotein phosphatase,Cell cycle defects,PS01248,16,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,mitochondria,16
1385,AAAFC,Essential,?,Serine/threonine phoshpoprotein phosphatase,Cell cycle defects,PS01248,16,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,mitochondria,16
1386,AAAFD,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar",Sensitivity to antibiotics,PS00017,7,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,7
1387,AAAFD,Essential,GTP/GDP-exchange factors (GEFs),"H+-transporting ATPase, vacuolar",Sensitivity to immunosuppressants,PS00685,7,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,7
1388,AAAFD,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar",Sensitivity to aminoacid analogs and other drugs,PS00017,7,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,7
1389,AAAFD,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar",Sensitivity to immunosuppressants,PS00013,7,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,7
1390,AAAFD,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar",Sensitivity to aminoacid analogs and other drugs,PS00108,7,TRANSPORT FACILITATION,cytoplasm,7
1391,AAAFD,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar",Sensitivity to aminoacid analogs and other drugs,PS00322,7,PROTEIN SYNTHESIS,cytoskeleton,7
1392,AAAFD,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar",Sensitivity to immunosuppressants,PS00297,7,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,7
1393,AAAFD,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar",Sensitivity to aminoacid analogs and other drugs,PS00463,7,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,7
1394,AAAFD,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar",Sensitivity to immunosuppressants,PS00297,7,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,7
1395,AAAFD,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar",Sensitivity to aminoacid analogs and other drugs,PS00959,7,IONIC HOMEOSTASIS,cytoskeleton,7
1396,AAAFD,Non-Essential,GTP/GDP-exchange factors (GEFs),"H+-transporting ATPase, vacuolar",Sensitivity to immunosuppressants,PS00152,7,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoskeleton,7
1397,AAAFD,Non-Essential,Molecular chaperones,"H+-transporting ATPase, vacuolar",Unknown,PS00108,7,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,7
1398,AAAFD,Non-Essential,GTP/GDP-exchange factors (GEFs),"H+-transporting ATPase, vacuolar",Sensitivity to aminoacid analogs and other drugs,PS00741,7,CELLULAR BIOGENESIS (proteins are not localized to the corresponding organelle),cytoplasm,7
1399,AAAFE,Non-Essential,?,,?,PS00329,15,METABOLISM,cytoplasm,15
1400,AAAFE,Non-Essential,?,,?,PS00329,15,METABOLISM,cytoplasm,15
1401,AAAFF,Essential,?,"H+-transporting ATPase, vacuolar",?,PS01088,0,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,0
1402,AAAFF,Essential,?,RNA processing complexes,Mating and sporulation defects,PS01088,0,METABOLISM,cytoplasm,0
1403,AAAFG,Non-Essential,Motorproteins,Cytoskeleton,Stress response defects,PS01119,13,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,13
1404,AAAFG,Non-Essential,Motorproteins,Cytoskeleton,Conditional phenotypes,PS01101,13,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,13
1405,AAAFG,Non-Essential,Motorproteins,?,Cell cycle defects,PS00633,13,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,plasma membrane,13
1406,AAAFG,Non-Essential,Motorproteins,Cytoskeleton,Conditional phenotypes,PS00294,13,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",plasma membrane,13
1407,AAAFG,Non-Essential,Molecular chaperones,Cytoskeleton,Stress response defects,PS00686,13,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,13
1408,AAAFG,Non-Essential,Molecular chaperones,?,Cell morphology and organelle mutants,PS01101,13,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,13
1409,AAAFG,Non-Essential,Motorproteins,Cytoskeleton,Conditional phenotypes,PS01119,13,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,13
1410,AAAFG,Non-Essential,Motorproteins,?,Cell morphology and organelle mutants,PS00294,13,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,plasma membrane,13
1411,AAAFH,Non-Essential,?,?,Cell morphology and organelle mutants,PS00959,4,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,4
1412,AAAFH,Non-Essential,?,?,Cell morphology and organelle mutants,PS00959,4,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,4
1413,AAAFH,Non-Essential,?,?,Cell morphology and organelle mutants,PS00959,4,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,4
1414,AAAFH,Non-Essential,?,?,Cell morphology and organelle mutants,PS00959,4,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,4
1415,AAAFH,Non-Essential,?,?,Cell morphology and organelle mutants,PS00959,4,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,4
1416,AAAFH,Non-Essential,?,?,Cell morphology and organelle mutants,PS00959,4,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,4
1417,AAAFI,Essential,Ubiquitin-system proteins,Cytoskeleton,Mating and sporulation defects,PS00108,16,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoskeleton,16
1418,AAAFI,Essential,Ubiquitin-system proteins,Cytoskeleton,Cell cycle defects,PS00108,16,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoskeleton,16
1419,AAAFI,Essential,GTP-binding proteins,Cytoskeleton,Mating and sporulation defects,PS00108,16,PROTEIN SYNTHESIS,cytoskeleton,16
1420,AAAFI,Essential,Ubiquitin-system proteins,Cytoskeleton,Mating and sporulation defects,PS00108,16,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoskeleton,16
1421,AAAFJ,Essential,?,"Endonuclease SceI, mitochondrial",?,PS00227,6,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,6
1422,AAAFJ,Essential,?,"Endonuclease SceI, mitochondrial",Mating and sporulation defects,PS00227,6,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,6
1423,AAAFJ,Essential,?,"Endonuclease SceI, mitochondrial",Mating and sporulation defects,PS00227,6,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,6
1424,AAAFJ,Essential,?,"Endonuclease SceI, mitochondrial",Mating and sporulation defects,PS00227,6,PROTEIN SYNTHESIS,cytoskeleton,6
1425,AAAFJ,Essential,?,"Endonuclease SceI, mitochondrial",Mating and sporulation defects,PS00228,6,PROTEIN DESTINATION,cytoskeleton,6
1426,AAAFK,Non-Essential,Other kinases,Unknown,Mating and sporulation defects,PS00824,0,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,0
1427,AAAFK,Non-Essential,Histones,Unknown,Mating and sporulation defects,PS00824,0,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,0
1428,AAAFK,Non-Essential,Histones,Unknown,Mating and sporulation defects,PS00824,0,PROTEIN DESTINATION,cytoplasm,0
1429,AAAFK,Non-Essential,Histones,Unknown,Mating and sporulation defects,PS00824,0,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,0
1430,AAAFK,Non-Essential,Histones,Unknown,Mating and sporulation defects,PS00824,0,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,0
1431,AAAFK,Non-Essential,Histones,Unknown,Mating and sporulation defects,PS00824,0,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,0
1432,AAAFL,Non-Essential,Cyclins,Translation complexes,?,PS00389,2,PROTEIN SYNTHESIS,cytoskeleton,2
1433,AAAFL,Non-Essential,Cyclins,Translation complexes,?,PS00389,2,PROTEIN SYNTHESIS,cytoskeleton,2
1434,AAAFM,Essential,?,,Cell morphology and organelle mutants,PS00125,4,PROTEIN DESTINATION,cytoskeleton,4
1435,AAAFM,Essential,?,,Conditional phenotypes,PS00125,4,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,4
1436,AAAFN,Non-Essential,GTP/GDP-exchange factors (GEFs),Casein kinase,Sensitivity to antibiotics,PS00973,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,2
1437,AAAFN,Non-Essential,GTP/GDP-exchange factors (GEFs),Casein kinase,Unknown,PS00973,2,PROTEIN SYNTHESIS,cytoskeleton,2
1438,AAAFN,Non-Essential,GTP/GDP-exchange factors (GEFs),Casein kinase,Sensitivity to aminoacid analogs and other drugs,PS00227,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,2
1439,AAAFN,Non-Essential,GTP/GDP-exchange factors (GEFs),Casein kinase,Sensitivity to aminoacid analogs and other drugs,PS00227,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,2
1440,AAAFN,Non-Essential,GTP/GDP-exchange factors (GEFs),Casein kinase,Unknown,PS00973,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,2
1441,AAAFN,Non-Essential,GTP/GDP-exchange factors (GEFs),Casein kinase,Sensitivity to antibiotics,PS00973,2,IONIC HOMEOSTASIS,cytoskeleton,2
1442,AAAFO,Essential,Ubiquitin-system proteins,Transcription complexes/Transcriptosome,Mating and sporulation defects,PS00675,15,PROTEIN DESTINATION,cytoskeleton,15
1443,AAAFO,Essential,Ubiquitin-system proteins,Transcription complexes/Transcriptosome,Mating and sporulation defects,PS00675,15,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,15
1444,AAAFP,Essential,?,Kinetochore protein complexes,Conditional phenotypes,PS00022,8,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",ER,8
1445,AAAFP,Essential,?,Mitochondrial translocase complex,Conditional phenotypes,PS00022,8,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),ER,8
1446,AAAFP,Essential,?,Kinetochore protein complexes,Conditional phenotypes,PS00022,8,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),ER,8
1447,AAAFP,Essential,?,Mitochondrial translocase complex,Conditional phenotypes,PS00022,8,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),ER,8
1448,AAAFP,Essential,?,Mitochondrial translocase complex,Conditional phenotypes,PS00022,8,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),ER,8
1449,AAAFQ,Essential,?,Translation complexes,Cell cycle defects,PS00845,8,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,8
1450,AAAFQ,Essential,?,Translation complexes,Cell cycle defects,PS00845,8,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,8
1451,AAAFQ,Essential,?,Translation complexes,Cell cycle defects,PS00845,8,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,8
1452,AAAFR,?,Histones,Translocon,Cell cycle defects,?,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,11
1453,AAAFR,?,Histones,Translocon,Mating and sporulation defects,?,11,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,plasma membrane,11
1454,AAAFR,?,Histones,Translocon,Stress response defects,?,11,PROTEIN SYNTHESIS,plasma membrane,11
1455,AAAFS,Essential,Nucleases,Cyclin-CDK (Cyclin-dependent kinases) complexes,?,PS00824,16,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,16
1456,AAAFS,Essential,Nucleases,Cyclin-CDK (Cyclin-dependent kinases) complexes,?,PS00824,16,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,16
1457,AAAFS,Essential,Nucleases,Cyclin-CDK (Cyclin-dependent kinases) complexes,?,PS00824,16,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoskeleton,16
1458,AAAFT,Non-Essential,?,Translocon,Cell morphology and organelle mutants,PS01145,16,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",integral membrane,16
1459,AAAFT,Non-Essential,?,Translocon,Mating and sporulation defects,PS00200,16,METABOLISM,peroxisome,16
1460,AAAFT,Non-Essential,?,Translocon,Cell cycle defects,PS01145,16,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",peroxisome,16
1461,AAAFT,Non-Essential,?,Translocon,Mating and sporulation defects,PS01145,16,TRANSCRIPTION,peroxisome,16
1462,AAAFT,Non-Essential,?,Translocon,Cell morphology and organelle mutants,PS01145,16,CELLULAR BIOGENESIS (proteins are not localized to the corresponding organelle),integral membrane,16
1463,AAAFT,Non-Essential,?,Translocon,Cell morphology and organelle mutants,PS01145,16,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",peroxisome,16
1464,AAAFU,Essential,?,,Mating and sporulation defects,PS00824,6,TRANSCRIPTION,nucleus,6
1465,AAAFU,Essential,?,,Mating and sporulation defects,PS00824,6,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,6
1466,AAAFU,Essential,?,,Mating and sporulation defects,PS00824,6,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,6
1467,AAAFU,Essential,?,,Mating and sporulation defects,PS00824,6,PROTEIN DESTINATION,nucleus,6
1468,AAAFU,Essential,?,,Mating and sporulation defects,PS00824,6,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,plasma membrane,6
1469,AAAFU,Essential,?,,Mating and sporulation defects,PS00824,6,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,6
1470,AAAFV,Essential,Transcription factors,,?,PS00720,6,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),integral membrane,6
1471,AAAFV,Essential,Transcription factors,,?,PS01132,6,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",integral membrane,6
1472,AAAFW,Non-Essential,GTP/GDP-exchange factors (GEFs),Translation complexes,Cell morphology and organelle mutants,PS00824,5,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,5
1473,AAAFW,Non-Essential,GTP/GDP-exchange factors (GEFs),Translation complexes,Cell morphology and organelle mutants,PS00824,5,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,5
1474,AAAFW,Non-Essential,GTP/GDP-exchange factors (GEFs),Translation complexes,Cell morphology and organelle mutants,PS00824,5,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,5
1475,AAAFW,Non-Essential,GTP/GDP-exchange factors (GEFs),Translation complexes,Cell morphology and organelle mutants,PS00824,5,METABOLISM,cytoplasm,5
1476,AAAFW,Non-Essential,GTP/GDP-exchange factors (GEFs),Translation complexes,Cell morphology and organelle mutants,PS00824,5,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,5
1477,AAAFW,Non-Essential,GTP/GDP-exchange factors (GEFs),Translation complexes,Cell morphology and organelle mutants,PS00824,5,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,5
1478,AAAFW,Non-Essential,GTP/GDP-exchange factors (GEFs),Translation complexes,Cell morphology and organelle mutants,PS00824,5,PROTEIN DESTINATION,cytoplasm,5
1479,AAAFW,Non-Essential,GTP/GDP-exchange factors (GEFs),Translation complexes,Cell morphology and organelle mutants,PS00824,5,METABOLISM,cytoplasm,5
1480,AAAFW,Non-Essential,GTP/GDP-exchange factors (GEFs),Translation complexes,Cell morphology and organelle mutants,PS00824,5,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm,5
1481,AAAFW,Non-Essential,GTP/GDP-exchange factors (GEFs),Translation complexes,Cell morphology and organelle mutants,PS00824,5,PROTEIN SYNTHESIS,cytoplasm,5
1482,AAAFW,Non-Essential,GTP/GDP-exchange factors (GEFs),Translation complexes,Cell morphology and organelle mutants,PS00824,5,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,5
1483,AAAFW,Non-Essential,GTP/GDP-exchange factors (GEFs),Translation complexes,Cell morphology and organelle mutants,PS00824,5,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,5
1484,AAAFX,Essential,Cyclins,Cytoskeleton,Cell cycle defects,PS00129,10,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,10
1485,AAAFX,Essential,Transcription factors,Cytoskeleton,Cell cycle defects,PS00929,10,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,10
1486,AAAFX,Essential,Cyclins,Cytoskeleton,Cell cycle defects,PS00141,10,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,10
1487,AAAFX,Essential,Cyclins,Cytoskeleton,Cell cycle defects,PS00141,10,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,10
1488,AAAFX,Essential,Transcription factors,Cytoskeleton,Cell cycle defects,PS00723,10,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,10
1489,AAAFX,Essential,Cyclins,Cytoskeleton,Cell cycle defects,PS00141,10,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoskeleton,10
1490,AAAFX,Essential,Cyclins,Cytoskeleton,Cell cycle defects,PS00822,10,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoskeleton,10
1491,AAAFY,Non-Essential,GTP/GDP-exchange factors (GEFs),Respiration chain complexes,Cell cycle defects,PS00020,10,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",vacuole,10
1492,AAAFY,Non-Essential,ATPases,Respiration chain complexes,Cell cycle defects,PS00019,10,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",vacuole,10
1493,AAAFY,Non-Essential,ATPases,Respiration chain complexes,Cell cycle defects,PS00020,10,PROTEIN SYNTHESIS,vacuole,10
1494,AAAFZ,Essential,ATPases,Intracellular transport complexes,Cell morphology and organelle mutants,PS00329,0,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,0
1495,AAAFZ,Essential,ATPases,Intracellular transport complexes,Cell morphology and organelle mutants,PS00228,0,PROTEIN SYNTHESIS,cytoplasm,0
1496,AAAFZ,Essential,ATPases,Intracellular transport complexes,Cell morphology and organelle mutants,PS00125,0,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,0
1497,AAAFa,?,Adaptins,Cytoskeleton,?,PS00167,8,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",mitochondria,8
1498,AAAFa,?,Adaptins,Cytoskeleton,?,PS00167,8,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,mitochondria,8
1499,AAAFa,?,Adaptins,Cytoskeleton,?,PS00167,8,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),mitochondria,8
1500,AAAFb,Essential,GTP/GDP-exchange factors (GEFs),,Stress response defects,PS00824,10,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,10
1501,AAAFb,Essential,GTP/GDP-exchange factors (GEFs),,Conditional phenotypes,PS00824,10,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",plasma membrane,10
1502,AAAFb,Essential,GTP/GDP-exchange factors (GEFs),,Conditional phenotypes,PS00824,10,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,10
1503,AAAFb,Essential,GTP/GDP-exchange factors (GEFs),,Conditional phenotypes,PS00824,10,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,10
1504,AAAFb,Essential,GTP/GDP-exchange factors (GEFs),,Stress response defects,PS00824,10,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,10
1505,AAAFb,Essential,GTP/GDP-exchange factors (GEFs),,Conditional phenotypes,PS00824,10,PROTEIN SYNTHESIS,plasma membrane,10
1506,AAAFb,Essential,GTP/GDP-exchange factors (GEFs),,Conditional phenotypes,PS00824,10,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,10
1507,AAAFb,Essential,GTP/GDP-exchange factors (GEFs),,Conditional phenotypes,PS00824,10,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,10
1508,AAAFb,Essential,GTP/GDP-exchange factors (GEFs),,Conditional phenotypes,PS00824,10,PROTEIN SYNTHESIS,plasma membrane,10
1509,AAAFb,Essential,GTP/GDP-exchange factors (GEFs),,Conditional phenotypes,PS00824,10,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,10
1510,AAAFb,Essential,GTP/GDP-exchange factors (GEFs),,Conditional phenotypes,PS00824,10,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,10
1511,AAAFc,Essential,?,,Sensitivity to antibiotics,PS00824,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,1
1512,AAAFc,Essential,?,,Nucleic acid metabolism defects,PS00824,1,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoskeleton,1
1513,AAAFc,Essential,?,,"Auxotrophies, carbon and",PS00824,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,1
1514,AAAFc,Essential,?,,Nucleic acid metabolism defects,PS00824,1,PROTEIN SYNTHESIS,cytoskeleton,1
1515,AAAFc,Essential,?,,Carbohydrate and lipid biosynthesis defects,PS00824,1,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoskeleton,1
1516,AAAFc,Essential,?,,"Auxotrophies, carbon and",PS00824,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,1
1517,AAAFc,Essential,?,,Sensitivity to aminoacid analogs and other drugs,PS00824,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,1
1518,AAAFc,Essential,?,,Carbohydrate and lipid biosynthesis defects,PS00824,1,PROTEIN SYNTHESIS,cytoskeleton,1
1519,AAAFc,Essential,?,,Carbohydrate and lipid biosynthesis defects,PS00824,1,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoskeleton,1
1520,AAAFd,Non-Essential,Cyclins,?,Nucleic acid metabolism defects,PS01132,11,ENERGY,cytoplasm,11
1521,AAAFd,Non-Essential,Cyclins,?,Stress response defects,PS01248,11,PROTEIN SYNTHESIS,cytoplasm,11
1522,AAAFd,Non-Essential,Cyclins,?,"Auxotrophies, carbon and",PS01132,11,ENERGY,cytoplasm,11
1523,AAAFe,Essential,ATPases,,Stress response defects,,6,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoskeleton,6
1524,AAAFe,Essential,ATPases,,Cell cycle defects,,6,PROTEIN DESTINATION,cytoplasm,6
1525,AAAFe,Essential,ATPases,,Conditional phenotypes,,6,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoskeleton,6
1526,AAAFe,Essential,ATPases,,Stress response defects,,6,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,6
1527,AAAFe,Essential,ATPases,,Conditional phenotypes,,6,PROTEIN DESTINATION,cytoplasm,6
1528,AAAFe,Essential,ATPases,,Stress response defects,,6,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoskeleton,6
1529,AAAFe,Essential,Molecular chaperones,,Cell cycle defects,,6,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,6
1530,AAAFe,Essential,ATPases,,Conditional phenotypes,,6,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,6
1531,AAAFe,Essential,ATPases,,Cell cycle defects,,6,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,6
1532,AAAFe,Essential,ATPases,,Stress response defects,,6,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,6
1533,AAAFe,Essential,ATPases,,Conditional phenotypes,,6,PROTEIN DESTINATION,cytoskeleton,6
1534,AAAFf,Non-Essential,?,Transcription complexes/Transcriptosome,Cell cycle defects,PS00813,3,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",mitochondria,3
1535,AAAFf,Non-Essential,?,Transcription complexes/Transcriptosome,Cell cycle defects,PS00813,3,PROTEIN SYNTHESIS,mitochondria,3
1536,AAAFf,Non-Essential,?,Transcription complexes/Transcriptosome,Cell cycle defects,PS00813,3,PROTEIN SYNTHESIS,mitochondria,3
1537,AAAFf,Non-Essential,?,Transcription complexes/Transcriptosome,Cell cycle defects,PS00813,3,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),mitochondria,3
1538,AAAFg,Essential,Polymerases,2-oxoglutarate dehydrogenase,Carbohydrate and lipid biosynthesis defects,PS00350,0,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,0
1539,AAAFg,Essential,Polymerases,2-oxoglutarate dehydrogenase,Carbohydrate and lipid biosynthesis defects,PS00022,0,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,0
1540,AAAFg,Essential,Polymerases,2-oxoglutarate dehydrogenase,Carbohydrate and lipid biosynthesis defects,PS00350,0,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,0
1541,AAAFg,Essential,Actin related proteins,2-oxoglutarate dehydrogenase,Carbohydrate and lipid biosynthesis defects,PS00350,0,PROTEIN DESTINATION,cytoskeleton,0
1542,AAAFh,?,Ubiquitin-system proteins,,Stress response defects,PS00824,5,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",mitochondria,5
1543,AAAFh,?,Ubiquitin-system proteins,,Stress response defects,PS00824,5,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",mitochondria,5
1544,AAAFh,?,Ubiquitin-system proteins,,Conditional phenotypes,PS00824,5,PROTEIN SYNTHESIS,mitochondria,5
1545,AAAFh,?,Ubiquitin-system proteins,,Stress response defects,PS00824,5,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,mitochondria,5
